"","company","time","title","job_title","job_location","recommends_rating","outlook_rating","ceo_rating","experience","pros","cons","advice_to_management"
"31","Best Buy","","""Great company to work for.""","Current Employee - Magnolia Home Theater Sales Associate","Minneapolis, MN","Recommends","Positive Outlook","Approves of CEO","I have been working at Best Buy full-time (More than 5 years)","Great development if you work with your leaders on it.Inside and outside training available.Really care about their employees.Some of the best benefits in the industry from healthcare to financial advisors to family planning.Corporate is very hands on in developing the company in a great way based on customer service.Holiday pay is great.Non commissioned in most sales positions but great bonuses if you hit goals.","Every store runs quite a bit differently, management per store really controls how the store feels and operates.PTO when first becoming full time is unbearable low.","Employees need a way to better understand how they are impacting he company and that what they are doing is actually helping the company progress. Employees seem to lose motivation due to not understanding the growth of the company."
"32","Best Buy","2018-04-17","""Cashier""","Former Employee - Anonymous Employee","","Recommends","Neutral Outlook","No opinion of CEO","I worked at Best Buy full-time","discounts, 3rd party discounts, and catering food","inconsistent hours, little pay, and rude management","none"
"33","Best Buy","2018-04-16","""Mobile Sales Consultant""","Current Employee - Anonymous Employee","","Recommends","NA","NA","I have been working at Best Buy part-time","Not commission based, great atmosphere to work in. Managers have 1:1 meetings with you every month to look at your stats, and talk about professional growth","Sometimes it can be tough to deal with the carriers",""
"34","Best Buy","2018-04-16","""Best Buy sales""","Former Employee - Sales Associate","Clearwater, FL","Recommends","Positive Outlook","Approves of CEO","I worked at Best Buy full-time (Less than a year)","Great co-workers/management, decent benefits 401k etc","Normal things that come with any retail job",""
"35","Best Buy","2018-04-15","""Smart Home Sales""","Current Employee - Anonymous Employee","","NA","NA","NA","","Fantastic company, great opportunity","may be hard to move up in the company at times.",""
"36","Best Buy","2018-04-15","""Great place to work, but don't depend on it as your only job.""","Current Employee - Anonymous Employee","","Doesn't Recommend","Neutral Outlook","Disapproves of CEO","I have been working at Best Buy part-time (Less than a year)","Great atmosphere. Friendly employees. Awesome discount.","Unless you're Full Time or get benefits elsewhere, don't depend on this job as you're main source of income. Only Full time employees get health and wellness benefits.","Always hire employees based on work ethic and history, don't pull favors to hire people for friends for full time work that know nothing about the departmnet."
"37","Best Buy","2018-04-15","""Disapointing discouraging dead end job.""","Former Employee - Expert","York, PA","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I worked at Best Buy full-time (More than a year)","Discount and accommodations are good on certain products. VPL roles that aren't misused and abused have promise. Good part time job for high school students.","No advancement, low pay, unpredictable job stability, favoritism, poor management, unappreciated employees, no work life balance typical with retail jobs.","Don't play favorites, appreciate your employees, hold employees accountable as a leader instead of expecting there co workers to do it for you. Don't put credit card applications and selling above customer service and good ethics."
"38","Best Buy","2018-04-15","""Best Buy""","Former Employee - Team Lead","Ballwin, MO","Recommends","Neutral Outlook","Approves of CEO","I worked at Best Buy full-time (More than a year)","Good training, they have semi annual market trainings, elearnings are always available. Lots of resources if you’re willing to learn.","Management are normally pretty useless, I worked at three locations and that was consistent. There are usually a bunch of young adults employed there, a lot like working at a high school.","Be certified in the departments. When employees come to you for help, the answer shouldn’t be I don’t know, figure it out."
"39","Best Buy","2018-04-15","""Great work environment for those who enjoy consumer electronics""","Current Employee - Sales Associate","","Recommends","Positive Outlook","Approves of CEO","I have been working at Best Buy part-time (Less than a year)","Use, talk about, and work, near the latest consumer technology, without the extreme pressure of upselling an individual. Non-commission based sales.","Slightly skewed management system and delegation of roles.","Develop methods of accountability."
"40","Best Buy","2018-04-15","""Mobile Specialist""","Former Employee - Mobile Specialist","Vancouver, BC (Canada)","Recommends","Positive Outlook","Approves of CEO","I worked at Best Buy full-time (More than a year)","Great work colleagues,Supportive management,Many directions to advanceGreat benefits","Sales seem layered with bloated services","N/a"
"41","Wells Fargo","","""Ample Opportunity for Growth""","Current Employee - Phone Banker II","Westlake, TX","Recommends","Positive Outlook","Approves of CEO","I have been working at Wells Fargo full-time (More than a year)","Wells Fargo treats each and every employee as an asset by encouraging employees to continuously learn and grow both individually and as a team. I have never worked for a company that focuses so intensely on supporting its' employees through coaching, mentoring, and encouraging career development.","The only cons involved in working for Wells Fargo involve those barriers that employees may create as a result of poor adherence to schedule, or not reaching out to ask questions when necessary.","Most always do, but make sure to say good morning to each and every one of your team members! It really makes a difference and makes being at work feel like being home!"
"42","Wells Fargo","2018-04-17","""work and life balanced if you compromise in Salary""","Current Employee - Senior Technology Specialist","Bengaluru (India)","Recommends","Positive Outlook","Approves of CEO","I have been working at Wells Fargo full-time (More than 5 years)","life balence ,flexi timings,freedom to learn new technologies..","legacy applications,No onsite offers,manager favoring culture,","motivate team members by sending them to onsite and let them gain domain knowledge"
"43","Wells Fargo","2018-04-16","""Great team atmosphere.""","Former Employee - Business Specialist","Winchester, VA","Recommends","Positive Outlook","No opinion of CEO","I worked at Wells Fargo full-time (More than a year)","Benefits, teamwork focused, room for growth. Coaching on your career path specific to your strengths. Nationwide opportunities. Various lines of business allowing for more than just retail banking.","The only real con I can think of would be having to work on weekends. It used to be having to work until 6 PM or so but many of the branches have shortened their hours.","Continue the career development coaching. Morning huddles were also wonderful for team building and keeping us on the same page."
"44","Wells Fargo","2018-04-16","""Teller""","Current Employee - Bank Teller","Tempe, AZ","Recommends","Positive Outlook","Approves of CEO","I have been working at Wells Fargo (More than a year)","very flexible with schedule if you are part time","the computer systems are out dated as well as the majority of appliances used daily",""
"45","Wells Fargo","2018-04-16","""Part-Time""","Current Employee - Bank Teller","Manassas, VA","Recommends","Positive Outlook","No opinion of CEO","I have been working at Wells Fargo part-time (More than a year)","Great peopleManagement helps you get out of your comfort zoneOpportunity GrowthGreat starting pay and benefits","Customers are often not educated in regards to monetary instrumentsRude customersEven though there's opportunity growth, it is a slow processSome lazy team members","Please make sure your team members are following policy."
"46","Wells Fargo","2018-04-16","""anomonyous""","Former Employee - Anonymous","Fort Mill, SC","Doesn't Recommend","Neutral Outlook","NA","I worked at Wells Fargo full-time (More than 5 years)","Hours- 8:00-5:00 Lunches given on customer appreciation.","Managers show favoritism and not value everyone's opinion.","Be fair to all"
"47","Wells Fargo","2018-04-15","""Relationship Manager""","Current Employee - Relationship Manager","Long Beach, CA","Recommends","Positive Outlook","Approves of CEO","I have been working at Wells Fargo full-time (More than 10 years)","I love to work for such a large company.","It can be challenging to work for such a large company.",""
"48","Wells Fargo","2018-04-15","""Senior Auditor""","Former Employee - Anonymous Employee","Denver, CO","Recommends","Positive Outlook","No opinion of CEO","I worked at Wells Fargo full-time (More than 3 years)","Good people. Great benefits. Challenging and rewarding career.","Lack of leadership in some instances and lack of training. Most of the work is learned by getting ""thrown into the fire"".","Set up a better system of training newer employees."
"49","Wells Fargo","2018-04-15","""could be better""","Current Employee - Anonymous Employee","","Doesn't Recommend","Negative Outlook","NA","I have been working at Wells Fargo full-time","good benefitsemployee discountstuition reimbursments provided the managers approve","out dated techmanagers are not familiar with deals' specifics yet try to leadpoor compensations","N/A"
"50","Wells Fargo","2018-04-15","""SVP""","Current Employee - Regional Brokerage Manager","San Jose, CA","Recommends","Positive Outlook","No opinion of CEO","I have been working at Wells Fargo full-time (More than 5 years)","Management solicits feedback, both negative and positive. They want to get better. They change policies if shown they don't make sense. They care about people and try hard to make it a good place to work.","Recent bad news has been a drag on the company and the stock.","Continue to care about employees, don't change policies for the worse because of the bad news and stock price drag."
"51","Thomson Reuters","2018-04-16","""TR""","Former Employee - Anonymous Employee","","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I worked at Thomson Reuters full-time (More than 10 years)","There are some good apples","Office politics are the worst. People get promoted based on how they suck up. Honesty and intergrity are punished.","Get rid of the management in the support."
"52","Thomson Reuters","2018-04-16","""Manager""","Current Employee - Anonymous Employee","","Doesn't Recommend","Negative Outlook","No opinion of CEO","I have been working at Thomson Reuters full-time","Great work life balance with nice benefits","Politics everywhere and nothing gets done","A lot of politics in middle and senior management"
"53","Thomson Reuters","2018-04-15","""Senior Design Engineer""","Current Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","I have been working at Thomson Reuters full-time","Good company. Good technology. Good work life balance.","No such. I will recommend to work for compacy",""
"54","Thomson Reuters","2018-04-15","""Worked in FP&A function within the Financial and Risk Division""","Former Employee - Finance","Reading, England (UK)","Recommends","Neutral Outlook","No opinion of CEO","I worked at Thomson Reuters full-time (More than a year)","Good salary, ability to buy extra leave (if required), modern offices. The company supports several pro-bono projects and encourages volunteering among the staff","Long hours (on occasions) and lots of restructuring going which in some cases results in increased uncertainty and stress level among the staff","Empower all the employees, not just the managers to make them feel valued"
"55","Thomson Reuters","2018-04-12","""Senior Product Manager""","Current Employee - Anonymous Employee","","NA","NA","NA","I have been working at Thomson Reuters full-time (More than 10 years)","Longevity, great team, engaging innovative","Lack of communication, powerless,",""
"56","Thomson Reuters","2018-04-12","""Great""","Former Employee - Anonymous Employee","New York, NY","Recommends","Neutral Outlook","Approves of CEO","I worked at Thomson Reuters full-time (Less than a year)","This is a great place to work... such an awesome place to work. Did I mention it is a great place to work? Great great great.","If you said goodbye to me tonight there would still be music left to write. What else could I do I’m so inspired by you","Maybe this won’t last very long but you feel so right and I could be wrong now I know the woman that you are you’re wonderful so far and"
"57","Thomson Reuters","2018-04-11","""Great Company to work""","Current Employee - Anonymous Employee","","No opinion of CEO","NA","NA","I have been working at Thomson Reuters full-time","Proud to be part of a team that provides intelligent answers to the right people at the right time.","Nothing that I can think of.",""
"58","Thomson Reuters","2018-04-11","""Marketing- CarswellMedia""","Former Employee - Marketing Specialist","Toronto, ON (Canada)","Doesn't Recommend","Neutral Outlook","Approves of CEO","I worked at Thomson Reuters full-time (More than 3 years)","Half day Friday’sCo-workersFree Hot ChocolateGreat Health Plans and BenefitsVolunteer hours - but management rarely let’s you take them","Be prepared to be 20K underpaidMost managers are bullies and HR knows itManagement is trapped in the 1800’sIdeas are only accepted when they come from upper managementNo change cultureFinger pointing cultureConniving upper managementNo flow of informationVery corporate double faced attitudeNo flexibility on working hours","Focus on growing your employees and your revenue will follow. Prepare and train managers so they’re able to lead. Otherwise you’ll continue to loose your star employees"
"59","Thomson Reuters","2018-04-10","""Boring but trustworthy company""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at Thomson Reuters full-time (More than a year)","The salaries are good and the company gives you a lot of guidance to perform your job correctly. Good working environment","Abstract career progression, a lot of teams disseminated all over the world with very different job conditions which creates a bit of tension sometimes.","Less bureaucracy, less gap between groups, a clear carrier progression that works outside of TR as well. Many of the positions seems to be only conceived in terms of TR special structure."
"60","Thomson Reuters","2018-04-09","""Byzantine bureaucracy and a culture of bullying""","Former Employee - Columnist","","Doesn't Recommend","Neutral Outlook","NA","I worked at Thomson Reuters full-time (More than a year)","Some very smart people work there.","But they are outnumbered by mediocre foods who have brown-nosed and process- managed their way to seniority. TR was a news company that created a bureaucracy that rivalled the Chinese communist party with its complexity but achieved far less. It was the most depressing place I ever worked in a 20 year career. I was so happy to leave.","Spend less time thinking about management and more time thinking about content."
"61","General Mills","2018-04-14","""Good company to work with""","Former Employee - Anonymous Employee","","Recommends","Negative Outlook","NA","I worked at General Mills full-time","Strong emphasis on ethics and diversity.","Somewhat sedate, may have recently lost its way. Watch this space",""
"62","General Mills","2018-04-11","""Business Management Associate""","Current Employee - Anonymous Employee","","Doesn't Recommend","Negative Outlook","No opinion of CEO","I have been working at General Mills full-time (More than a year)","-Salary & Benefits-Geographical Mobility-Opportunity to Progress","-Nepotism Exists-'Diversity of Thought' company, not a culturally diverse company-Work-Life Balance is not a priority-You must 'Play the [political] Game' to rise","-Listen avidly to your team-On-boarding is essential, but not a priority"
"63","General Mills","2018-04-10","""Grain Elevtor""","Current Employee - Anonymous Employee","","Recommends","Neutral Outlook","Approves of CEO","I have been working at General Mills full-time","Great benefits. Lots of overtime during harvest. Never laid off. Large company so never any issue with pay. Very safe work environment.","Very poor directions from management. A terrible union to work with. Bad vacation when starting out. No place for advancement.","Be more clear with the big plans of the company. Also give out more vacation to guys starting out."
"64","General Mills","2018-04-09","""Marketing Coordinator""","Former Employee - Anonymous Employee","Minneapolis, MN","NA","NA","NA","I worked at General Mills full-time (More than a year)","Create culture and depending on where you are located a lot of opportunities","A lot of red tape to get things done",""
"65","General Mills","2018-04-05","""A good place to work""","Current Employee - Anonymous Employee","","Recommends","NA","NA","I have been working at General Mills full-time","Work life balanceGood HR policies","Work can be monotonousFavoritism in some divisions",""
"66","General Mills","2018-04-03","""Great environment""","Current Employee - Account Manager","","Recommends","Positive Outlook","Approves of CEO","I have been working at General Mills full-time (More than 5 years)","Positive all around great company","None - Great place to work",""
"67","General Mills","2018-03-30","""Great for some""","Current Employee - Anonymous Employee","","Doesn't Recommend","Approves of CEO","NA","I have been working at General Mills full-time (More than 10 years)","Inclusive environment, ability to work remotely for most roles, smart, results -oriented people, engagement high, mobilizing to meet new consumer needs, exciting","Large company problem of too many disconnected processes and time spent trying to figure out who does/owns what.High engagement could be replaced by burn out","Career development and advancement opportunities remain limitedContinue to focus on clarifying processes and roles to unleash the power of your people"
"68","General Mills","2018-03-29","""Sales Trainee""","Current Employee - Anonymous Employee","","Recommends","Negative Outlook","No opinion of CEO","I have been working at General Mills full-time","Good compensation and benefits plans","No balance between work and personal life",""
"69","General Mills","2018-03-27","""General Mills""","Current Employee - Anonymous Employee","","Recommends","Neutral Outlook","No opinion of CEO","I have been working at General Mills full-time","Great work culture. Competitive salaries. Opportunity to work with cross-functional functions.","Tougher advancements. Work/life balance dependent on team you are placed in. Limited training.","Have more efforts to retain employees."
"70","General Mills","2018-03-26","""Slow Growth""","Current Employee - Anonymous Employee","","Negative Outlook","NA","NA","I have been working at General Mills full-time","Benefits especially work life balance","Constant worry of losing job",""
"71","U.S. Bank","2018-04-16","""Teller""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at U.S. Bank full-time","Great experience overall. Lucky to have worked with a team who I enjoyed working with.","Personally, didn't like having to ""sell"" to customers",""
"72","U.S. Bank","2018-04-16","""burnout central""","Current Employee - Loan/Line Specialist","Gresham, OR","Doesn't Recommend","Positive Outlook","Disapproves of CEO","I have been working at U.S. Bank full-time (More than a year)","hourly wage is better than flipping burgers","outdated systems, little support from management, huge workload for some bankers","instead of hiring droves of new PB1's, how 'bout we pay our PB1L's and higher a bit more to retain talent."
"73","U.S. Bank","2018-04-16","""Project Analyst""","Current Employee - Project Analyst","Oshkosh, WI","Recommends","Approves of CEO","NA","I have been working at U.S. Bank full-time (More than a year)","Great people to work with. Flexible benefit options!","Communication between the business lines.",""
"74","U.S. Bank","2018-04-14","""Low pay, zero benefits""","Former Employee - Assistant Vice President","London, England (UK)","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I worked at U.S. Bank full-time (More than 3 years)","Central London office, some good people","Very low pay compared to the market (and given the amount of pressure) and zero benefits afforded by other banks. Not enough focus on training","Listen to the issues around pay to retain staff."
"75","U.S. Bank","2018-04-13","""Great Company""","Current Employee - Project Manager","Sacramento, CA","Recommends","Positive Outlook","Approves of CEO","I have been working at U.S. Bank full-time (More than 10 years)","Employee for over ten years. They promote learning, growth and family!","The systems can sometimes be dated.","Remember engaged employees are the best employees!"
"76","U.S. Bank","2018-04-12","""Business analyst""","Current Employee - Anonymous Employee","","Recommends","Positive Outlook","No opinion of CEO","I have been working at U.S. Bank full-time (More than 8 years)","The Pay is semi competitiveThe company is very stableIf you’re eligible the bonuses are solid","The Benefits are industry worst","We can’t take care of our families on these healthcare benefits."
"77","U.S. Bank","2018-04-12","""Never Work In Store""","Current Employee - Anonymous Employee","","Doesn't Recommend","Negative Outlook","No opinion of CEO","I have been working at U.S. Bank full-time","Great Benefits overall. I heard traditional was much better.","Where do I start. Bank open seven days a week and some federal holidays. You could go two weeks without a day off the way the schedule is set up and longer if they choose. In the In Stores you work an 11 hour shift and they will expect you not to take a lunch or to work through it by sitting in the back and if a customer comes you must be interrupted never to return to that lunch. Impossible to take sick time with the branches being massively over staffed and I think it’s by design. 2 people to a branch is all they need so you can never call out. There is some problems between in store and traditional branches so if you ever want to leave and your a good employee they will not recommend you or try to “coach you out” The technology is lacking as they want you to be full service all in one banker with no support. The systems are very slow and out dated","Better staffed and better salaries. Also better schedules with proper lunches will help the high turnover."
"78","U.S. Bank","2018-04-11","""Teller""","Current Employee - Teller Coordinator","","Recommends","Neutral Outlook","No opinion of CEO","I have been working at U.S. Bank full-time (More than a year)","Room for growthDecent compensation and payDecent benefits","Growth and movement is very slow",""
"79","U.S. Bank","2018-04-10","""Great Employer""","Current Employee - Project Manager","Fargo, ND","Recommends","Positive Outlook","Approves of CEO","I have been working at U.S. Bank full-time (More than 10 years)","Many advancement opportunities. I agree with former CEO Richard Davis in that most of us are “accidental” bankers. Many people with the company had a job to start and that job grew into a career.","Corporate structure slows progress. Newton’s third law says “for every action there is an equal and opposite reaction.” It seems this is true of corporate structures. Often the bureaucracy takes so long to do something that by the time we do it the business has already evolved.","Continue to strive for more ways to become agile."
"80","U.S. Bank","2018-04-10","""personal banker""","Current Employee - Anonymous Employee","","NA","NA","NA","I have been working at U.S. Bank full-time","good hours and paid holiday","bad pay scaletellers are the same pay as bankerslack of leadership",""
